出發日期,出發港口,目的港口,郵輪名,船公司,航行天數,最低價格,幣別,台幣價格,匯率,價格說明,停靠港,來源,其他來源報價,資料狀態,連結
2026-09-20,Keelung,基隆港,Star Voyager,Star Cruises,4,14000,TWD,14000,,行程總價（每人，2 人一室起）,基隆港 → 沖繩・那霸 NCT → 石垣島 → 基隆港,asiayo,,沿用 2026-09-17 資料,https://asiayo.com/zh-tw/cruise/item/54114/?activityStartDate=2026-09-20
2026-09-22,Yokohama,"Tokyo (yokohama), Japan",Diamond Princess,Princess Cruises,10,,USD,,31.841358,各房型最低價（每人，含稅費）,"Tokyo (yokohama), Japan → Taipei (keelung) → Taipei (keelung) → Ishigaki, Japan → Okinawa, Japan → Tokyo (yokohama), Japan",cruisedirect,,沿用 2026-09-17 資料,https://book.cruisedirect.com/swift/cruise/package/1531654?siid=294662
2026-09-23,Keelung,Keelung,Star Voyager,Star Cruises,3,8000,TWD,8000,,雙人房成人（每人）,那霸,eztravel,asiayo: NT$9300,最新,https://vacation.eztravel.com.tw/pkgfrn/introduction/FRN0000020376/20260923
2026-09-23,Tokyo,"Seoul (incheon),south Korea",Celebrity Millennium,Celebrity Cruises,13,2923,USD,93072,31.841358,各房型最低價（每人，含稅費）,"Tokyo, Japan → Mt Fuji (shimizu), Japan → Kyoto (osaka), Japan → Kyoto (osaka), Japan → Kochi, Japan → Hiroshima, Japan → Kagoshima, Japan → Nagasaki, Japan → Fukuoka, Japan → Busan, South Korea → Seoul (incheon),south Korea",cruisedirect,expedia: NT$149247（USD 4687.2）,沿用 2026-09-17 資料,https://book.cruisedirect.com/swift/cruise/package/1567588?siid=294662
2026-09-25,Keelung,基隆港,Star Voyager,Star Cruises,3,21300,TWD,21300,,行程總價（每人，2 人一室起）,基隆港 → 石垣島 → 基隆港,asiayo,,沿用 2026-09-17 資料,https://asiayo.com/zh-tw/cruise/item/51223/?activityStartDate=2026-09-25
2026-09-27,Keelung,Keelung,Star Voyager,Star Cruises,6,18000,TWD,18000,,雙人房成人（每人）,釜山 → 長崎 → 那霸,eztravel,asiayo: NT$21583,最新,https://vacation.eztravel.com.tw/pkgfrn/introduction/FRN0000020393/20260927
2026-09-27,Tokyo,Hong Kong,Viking Venus,Viking Ocean,15,11699.0,USD,372512,31.841358,各房型最低價（每人）,,expedia,cruisedirect: NT$372512（USD 11699）,沿用 2026-09-17 資料,https://bookus.expediacruises.com/swift/cruise/package/1558527?siid=1095905&lang=1
2026-10-01,Yokohama,"Tokyo (yokohama), Japan",Diamond Princess,Princess Cruises,10,1599,USD,50914,31.841358,各房型最低價（每人，含稅費）,"Tokyo (yokohama), Japan → Toba, Japan → Osaka (for Kyoto), Japan → Kochi, Japan → Hiroshima, Japan → Kanmon Straits, Japan → Busan, South Korea → Nagasaki, Japan → Tokyo (yokohama), Japan",cruisedirect,,沿用 2026-09-17 資料,https://book.cruisedirect.com/swift/cruise/package/1531679?siid=294662
2026-10-02,Keelung,基隆港,Star Voyager,Star Cruises,3,8000,TWD,8000,,行程總價（每人，2 人一室起）,基隆港,asiayo,,沿用 2026-09-17 資料,https://asiayo.com/zh-tw/cruise/item/54113/?activityStartDate=2026-10-02
2026-10-04,Keelung,Keelung,Star Voyager,Star Cruises,5,14000,TWD,14000,,雙人房成人（每人）,那霸 → 石垣島 → 宮古島,eztravel,,最新,https://vacation.eztravel.com.tw/pkgfrn/introduction/FRN0000020382/20261004
